time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-09 12:30:00-05:00,MyStrategy,86a4282426264878b8e63f8db5a612f1,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.8699951171875,1.0,0.0
2024-01-09 15:30:00-05:00,MyStrategy,ef6a22ae026248a98e0dd0ba2763b3f4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-09 15:30:00-05:00,MyStrategy,ef6a22ae026248a98e0dd0ba2763b3f4,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.8699951171875,1.0,0.0
2024-01-10 09:30:00-05:00,MyStrategy,5fc1d2d33ce349b2a46c4967aaf1b4a9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 09:30:00-05:00,MyStrategy,5fc1d2d33ce349b2a46c4967aaf1b4a9,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.1600036621094,1.0,0.0
2024-01-10 12:30:00-05:00,MyStrategy,1f05d21c7d784287bed245d3df6692ce,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 12:30:00-05:00,MyStrategy,1f05d21c7d784287bed245d3df6692ce,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.1600036621094,1.0,0.0
2024-01-10 15:30:00-05:00,MyStrategy,f537132dd81a4416a80ade16d18a8aa3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 15:30:00-05:00,MyStrategy,f537132dd81a4416a80ade16d18a8aa3,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.1600036621094,1.0,0.0
2024-01-11 09:30:00-05:00,MyStrategy,d76531653a7e43ff8cb394d8f724fdff,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-11 09:30:00-05:00,MyStrategy,d76531653a7e43ff8cb394d8f724fdff,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.5899963378906,1.0,0.0
2024-01-11 12:30:00-05:00,MyStrategy,8c9619275923410fa36caf36ebb0795c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-11 12:30:00-05:00,MyStrategy,8c9619275923410fa36caf36ebb0795c,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.5899963378906,1.0,0.0
2024-01-11 15:30:00-05:00,MyStrategy,299bde8fa3b04d78a4807354416ca61f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-11 15:30:00-05:00,MyStrategy,299bde8fa3b04d78a4807354416ca61f,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.5899963378906,1.0,0.0
2024-01-12 09:30:00-05:00,MyStrategy,97c3851ebc0547d3b2c2854bdf421df5,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 09:30:00-05:00,MyStrategy,97c3851ebc0547d3b2c2854bdf421df5,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.8399963378906,1.0,0.0
2024-01-12 12:30:00-05:00,MyStrategy,66e1f180c1f84d5191701b30dbcfb716,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 12:30:00-05:00,MyStrategy,66e1f180c1f84d5191701b30dbcfb716,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.8399963378906,1.0,0.0
2024-01-12 15:30:00-05:00,MyStrategy,d91ecd422b2f49c1b99807a666722769,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 15:30:00-05:00,MyStrategy,d91ecd422b2f49c1b99807a666722769,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.8399963378906,1.0,0.0
2024-01-16 09:30:00-05:00,MyStrategy,6a651a441f7f438c846a62105f65bf27,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,MyStrategy,6a651a441f7f438c846a62105f65bf27,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,1.0,0.0
2024-01-16 12:30:00-05:00,MyStrategy,26fb88bf52774c5095d130a660d63a92,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 12:30:00-05:00,MyStrategy,26fb88bf52774c5095d130a660d63a92,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,1.0,0.0
2024-01-16 15:30:00-05:00,MyStrategy,181f06ed7425493086d2f74cdbb380b8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 15:30:00-05:00,MyStrategy,181f06ed7425493086d2f74cdbb380b8,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,1.0,0.0
2024-01-17 09:30:00-05:00,MyStrategy,7d637ab6b04946e49c3e183e319773be,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,MyStrategy,7d637ab6b04946e49c3e183e319773be,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,1.0,0.0
2024-01-17 12:30:00-05:00,MyStrategy,ff062bb9d43f41478f2dc9c5287f806b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 12:30:00-05:00,MyStrategy,ff062bb9d43f41478f2dc9c5287f806b,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,1.0,0.0
2024-01-17 15:30:00-05:00,MyStrategy,0667a4a760c5470fa47eba48119e9eb0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 15:30:00-05:00,MyStrategy,0667a4a760c5470fa47eba48119e9eb0,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,1.0,0.0
2024-01-18 09:30:00-05:00,MyStrategy,7bc3e96ef5294ac98d08582ccfb57ddd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-18 09:30:00-05:00,MyStrategy,7bc3e96ef5294ac98d08582ccfb57ddd,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.010009765625,1.0,0.0
2024-01-18 12:30:00-05:00,MyStrategy,4cc3ce2947344bfbae923407ec61c4e3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-18 12:30:00-05:00,MyStrategy,4cc3ce2947344bfbae923407ec61c4e3,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.010009765625,1.0,0.0
2024-01-18 15:30:00-05:00,MyStrategy,0165937ada0a4c4794443726e86d9d3f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-18 15:30:00-05:00,MyStrategy,0165937ada0a4c4794443726e86d9d3f,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.010009765625,1.0,0.0
2024-01-19 09:30:00-05:00,MyStrategy,7fe0cbf13dda4fd0a128827a8ce9a85a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-19 09:30:00-05:00,MyStrategy,7fe0cbf13dda4fd0a128827a8ce9a85a,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.6499938964844,1.0,0.0
2024-01-19 12:30:00-05:00,MyStrategy,f50efd36c6c94ec099af7601ec508c1b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
