datetime,portfolio_value,cash,positions,return
2024-01-02 08:30:00-05:00,100000.0,100000.0,[],
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-02 12:30:00-05:00,100000.0,99527.83999633789,"[{'asset': SPY, 'quantity': 1.0}]",0.0
2024-01-02 15:30:00-05:00,100000.0,99055.67999267578,"[{'asset': SPY, 'quantity': 2.0}]",0.0
2024-01-02 18:30:00-05:00,100000.0,98583.51998901367,"[{'asset': SPY, 'quantity': 3.0}]",0.0
2024-01-02 18:25:00-05:00,100000.0,98583.51998901367,"[{'asset': SPY, 'quantity': 3.0}]",0.0
2024-01-03 08:30:00-05:00,99994.80996704102,98583.51998901367,"[{'asset': SPY, 'quantity': 3.0}]",-5.1900329589793515e-05
2024-01-03 09:30:00-05:00,99994.80996704102,98583.51998901367,"[{'asset': SPY, 'quantity': 3.0}]",0.0
2024-01-03 09:30:00-05:00,99994.80996704102,98583.51998901367,"[{'asset': SPY, 'quantity': 3.0}]",0.0
2024-01-03 12:30:00-05:00,99994.80996704102,98113.08999633789,"[{'asset': SPY, 'quantity': 4.0}]",0.0
2024-01-03 15:30:00-05:00,99994.80996704102,97642.66000366211,"[{'asset': SPY, 'quantity': 5.0}]",0.0
2024-01-03 18:30:00-05:00,99994.80996704102,97172.23001098633,"[{'asset': SPY, 'quantity': 6.0}]",0.0
2024-01-03 18:25:00-05:00,99994.80996704102,97172.23001098633,"[{'asset': SPY, 'quantity': 6.0}]",0.0
2024-01-04 08:30:00-05:00,99982.02993774414,97172.23001098633,"[{'asset': SPY, 'quantity': 6.0}]",-0.0001278069261902992
2024-01-04 09:30:00-05:00,99982.02993774414,97172.23001098633,"[{'asset': SPY, 'quantity': 6.0}]",0.0
2024-01-04 09:30:00-05:00,99982.02993774414,97172.23001098633,"[{'asset': SPY, 'quantity': 6.0}]",0.0
2024-01-04 12:30:00-05:00,99982.02993774414,96703.93002319336,"[{'asset': SPY, 'quantity': 7.0}]",0.0
2024-01-04 15:30:00-05:00,99982.02993774414,96235.63003540039,"[{'asset': SPY, 'quantity': 8.0}]",0.0
2024-01-04 18:30:00-05:00,99982.02993774414,95767.33004760742,"[{'asset': SPY, 'quantity': 9.0}]",0.0
2024-01-04 18:25:00-05:00,99982.02993774414,95767.33004760742,"[{'asset': SPY, 'quantity': 9.0}]",0.0
2024-01-05 08:30:00-05:00,99974.7399597168,95767.33004760742,"[{'asset': SPY, 'quantity': 9.0}]",-7.291288276389807e-05
2024-01-05 09:30:00-05:00,99974.7399597168,95767.33004760742,"[{'asset': SPY, 'quantity': 9.0}]",0.0
2024-01-05 09:30:00-05:00,99974.7399597168,95767.33004760742,"[{'asset': SPY, 'quantity': 9.0}]",0.0
2024-01-05 12:30:00-05:00,99974.7399597168,95299.84005737305,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-01-05 15:30:00-05:00,99974.7399597168,94832.35006713867,"[{'asset': SPY, 'quantity': 11.0}]",0.0
2024-01-05 18:30:00-05:00,99974.7399597168,94364.8600769043,"[{'asset': SPY, 'quantity': 12.0}]",0.0
2024-01-05 18:25:00-05:00,99974.7399597168,94364.8600769043,"[{'asset': SPY, 'quantity': 12.0}]",0.0
2024-01-08 08:30:00-05:00,99986.01998901367,94364.8600769043,"[{'asset': SPY, 'quantity': 12.0}]",0.00011282879356744324
2024-01-08 09:30:00-05:00,99986.01998901367,94364.8600769043,"[{'asset': SPY, 'quantity': 12.0}]",0.0
2024-01-08 09:30:00-05:00,99986.01998901367,94364.8600769043,"[{'asset': SPY, 'quantity': 12.0}]",0.0
2024-01-08 12:30:00-05:00,99986.01998901367,93896.43008422852,"[{'asset': SPY, 'quantity': 13.0}]",0.0
2024-01-08 15:30:00-05:00,99986.01998901367,93428.00009155273,"[{'asset': SPY, 'quantity': 14.0}]",0.0
2024-01-08 18:30:00-05:00,99986.01998901367,92959.57009887695,"[{'asset': SPY, 'quantity': 15.0}]",0.0
2024-01-08 18:25:00-05:00,99986.01998901367,92959.57009887695,"[{'asset': SPY, 'quantity': 15.0}]",0.0
2024-01-09 08:30:00-05:00,100037.62002563477,92959.57009887695,"[{'asset': SPY, 'quantity': 15.0}]",0.0005160725132049571
2024-01-09 09:30:00-05:00,100037.62002563477,92959.57009887695,"[{'asset': SPY, 'quantity': 15.0}]",0.0
2024-01-09 09:30:00-05:00,100037.62002563477,92959.57009887695,"[{'asset': SPY, 'quantity': 15.0}]",0.0
2024-01-09 12:30:00-05:00,100037.62002563477,92487.70010375977,"[{'asset': SPY, 'quantity': 16.0}]",0.0
2024-01-09 15:30:00-05:00,100037.62002563477,92015.83010864258,"[{'asset': SPY, 'quantity': 17.0}]",0.0
2024-01-09 18:30:00-05:00,100037.62002563477,91543.96011352539,"[{'asset': SPY, 'quantity': 18.0}]",0.0
2024-01-09 18:25:00-05:00,100037.62002563477,91543.96011352539,"[{'asset': SPY, 'quantity': 18.0}]",0.0
2024-01-10 08:30:00-05:00,100078.84017944336,91543.96011352539,"[{'asset': SPY, 'quantity': 18.0}]",0.0004120465260772921
2024-01-10 09:30:00-05:00,100078.84017944336,91543.96011352539,"[{'asset': SPY, 'quantity': 18.0}]",0.0
2024-01-10 09:30:00-05:00,100078.84017944336,91543.96011352539,"[{'asset': SPY, 'quantity': 18.0}]",0.0
2024-01-10 12:30:00-05:00,100078.84017944336,91069.80010986328,"[{'asset': SPY, 'quantity': 19.0}]",0.0
2024-01-10 15:30:00-05:00,100078.84017944336,90595.64010620117,"[{'asset': SPY, 'quantity': 20.0}]",0.0
2024-01-10 18:30:00-05:00,100078.84017944336,90121.48010253906,"[{'asset': SPY, 'quantity': 21.0}]",0.0
2024-01-10 18:25:00-05:00,100078.84017944336,90121.48010253906,"[{'asset': SPY, 'quantity': 21.0}]",0.0
2024-01-11 08:30:00-05:00,100150.87002563477,90121.48010253906,"[{'asset': SPY, 'quantity': 21.0}]",0.0007197310246827016
2024-01-11 09:30:00-05:00,100150.87002563477,90121.48010253906,"[{'asset': SPY, 'quantity': 21.0}]",0.0
2024-01-11 09:30:00-05:00,100150.87002563477,90121.48010253906,"[{'asset': SPY, 'quantity': 21.0}]",0.0
2024-01-11 12:30:00-05:00,100150.87002563477,89643.89010620117,"[{'asset': SPY, 'quantity': 22.0}]",0.0
2024-01-11 15:30:00-05:00,100150.87002563477,89166.30010986328,"[{'asset': SPY, 'quantity': 23.0}]",0.0
2024-01-11 18:30:00-05:00,100150.87002563477,88688.71011352539,"[{'asset': SPY, 'quantity': 24.0}]",0.0
2024-01-11 18:25:00-05:00,100150.87002563477,88688.71011352539,"[{'asset': SPY, 'quantity': 24.0}]",0.0
2024-01-12 08:30:00-05:00,100156.87002563477,88688.71011352539,"[{'asset': SPY, 'quantity': 24.0}]",5.990961434942932e-05
2024-01-12 09:30:00-05:00,100156.87002563477,88688.71011352539,"[{'asset': SPY, 'quantity': 24.0}]",0.0
2024-01-12 09:30:00-05:00,100156.87002563477,88688.71011352539,"[{'asset': SPY, 'quantity': 24.0}]",0.0
2024-01-12 12:30:00-05:00,100156.87002563477,88210.8701171875,"[{'asset': SPY, 'quantity': 25.0}]",0.0
2024-01-12 15:30:00-05:00,100156.87002563477,87733.03012084961,"[{'asset': SPY, 'quantity': 26.0}]",0.0
2024-01-12 18:30:00-05:00,100156.87002563477,87255.19012451172,"[{'asset': SPY, 'quantity': 27.0}]",0.0
2024-01-12 18:25:00-05:00,100156.87002563477,87255.19012451172,"[{'asset': SPY, 'quantity': 27.0}]",0.0
2024-01-16 08:30:00-05:00,100087.2103881836,87255.19012451172,"[{'asset': SPY, 'quantity': 27.0}]",-0.0006955053351141993
2024-01-16 09:30:00-05:00,100087.2103881836,87255.19012451172,"[{'asset': SPY, 'quantity': 27.0}]",0.0
2024-01-16 09:30:00-05:00,100087.2103881836,87255.19012451172,"[{'asset': SPY, 'quantity': 27.0}]",0.0
2024-01-16 12:30:00-05:00,100087.2103881836,86779.9301147461,"[{'asset': SPY, 'quantity': 28.0}]",0.0
2024-01-16 15:30:00-05:00,100087.2103881836,86304.67010498047,"[{'asset': SPY, 'quantity': 29.0}]",0.0
2024-01-16 18:30:00-05:00,100087.2103881836,85829.41009521484,"[{'asset': SPY, 'quantity': 30.0}]",0.0
2024-01-16 18:25:00-05:00,100087.2103881836,85829.41009521484,"[{'asset': SPY, 'quantity': 30.0}]",0.0
2024-01-17 08:30:00-05:00,99984.0103149414,85829.41009521484,"[{'asset': SPY, 'quantity': 30.0}]",-0.0010311015047970162
2024-01-17 09:30:00-05:00,99984.0103149414,85829.41009521484,"[{'asset': SPY, 'quantity': 30.0}]",0.0
2024-01-17 09:30:00-05:00,99984.0103149414,85829.41009521484,"[{'asset': SPY, 'quantity': 30.0}]",0.0
2024-01-17 12:30:00-05:00,99984.0103149414,85357.59008789062,"[{'asset': SPY, 'quantity': 31.0}]",0.0
2024-01-17 15:30:00-05:00,99984.0103149414,84885.7700805664,"[{'asset': SPY, 'quantity': 32.0}]",0.0
2024-01-17 18:30:00-05:00,99984.0103149414,84413.95007324219,"[{'asset': SPY, 'quantity': 33.0}]",0.0
2024-01-17 18:25:00-05:00,99984.0103149414,84413.95007324219,"[{'asset': SPY, 'quantity': 33.0}]",0.0
2024-01-18 08:30:00-05:00,100056.28039550781,84413.95007324219,"[{'asset': SPY, 'quantity': 33.0}]",0.0007228163817269984
2024-01-18 09:30:00-05:00,100056.28039550781,84413.95007324219,"[{'asset': SPY, 'quantity': 33.0}]",0.0
2024-01-18 09:30:00-05:00,100056.28039550781,84413.95007324219,"[{'asset': SPY, 'quantity': 33.0}]",0.0
