datetime,portfolio_value,cash,positions,return
2024-01-10 12:30:00-05:00,107884.01794433594,-793019.9890136719,"[{'asset': SPY, 'quantity': 1900.0}]",0.0
2024-01-10 15:30:00-05:00,107884.01794433594,-840435.9893798828,"[{'asset': SPY, 'quantity': 2000.0}]",0.0
2024-01-10 18:30:00-05:00,107884.01794433594,-887851.9897460938,"[{'asset': SPY, 'quantity': 2100.0}]",0.0
2024-01-10 18:25:00-05:00,107884.01794433594,-887851.9897460938,"[{'asset': SPY, 'quantity': 2100.0}]",0.0
2024-01-11 08:30:00-05:00,115087.00256347656,-887851.9897460938,"[{'asset': SPY, 'quantity': 2100.0}]",0.06676600256821263
2024-01-11 09:30:00-05:00,115087.00256347656,-887851.9897460938,"[{'asset': SPY, 'quantity': 2100.0}]",0.0
2024-01-11 09:30:00-05:00,115087.00256347656,-887851.9897460938,"[{'asset': SPY, 'quantity': 2100.0}]",0.0
2024-01-11 12:30:00-05:00,115087.00256347656,-935610.9893798828,"[{'asset': SPY, 'quantity': 2200.0}]",0.0
2024-01-11 15:30:00-05:00,115087.00256347656,-983369.9890136719,"[{'asset': SPY, 'quantity': 2300.0}]",0.0
2024-01-11 18:30:00-05:00,115087.00256347656,-1031128.9886474609,"[{'asset': SPY, 'quantity': 2400.0}]",0.0
2024-01-11 18:25:00-05:00,115087.00256347656,-1031128.9886474609,"[{'asset': SPY, 'quantity': 2400.0}]",0.0
2024-01-12 08:30:00-05:00,115687.00256347656,-1031128.9886474609,"[{'asset': SPY, 'quantity': 2400.0}]",0.005213447102065727
2024-01-12 09:30:00-05:00,115687.00256347656,-1031128.9886474609,"[{'asset': SPY, 'quantity': 2400.0}]",0.0
2024-01-12 09:30:00-05:00,115687.00256347656,-1031128.9886474609,"[{'asset': SPY, 'quantity': 2400.0}]",0.0
2024-01-12 12:30:00-05:00,115687.00256347656,-1078912.98828125,"[{'asset': SPY, 'quantity': 2500.0}]",0.0
2024-01-12 15:30:00-05:00,115687.00256347656,-1126696.987915039,"[{'asset': SPY, 'quantity': 2600.0}]",0.0
2024-01-12 18:30:00-05:00,115687.00256347656,-1174480.9875488281,"[{'asset': SPY, 'quantity': 2700.0}]",0.0
2024-01-12 18:25:00-05:00,115687.00256347656,-1174480.9875488281,"[{'asset': SPY, 'quantity': 2700.0}]",0.0
2024-01-16 08:30:00-05:00,108721.03881835938,-1174480.9875488281,"[{'asset': SPY, 'quantity': 2700.0}]",-0.060213883934757684
2024-01-16 09:30:00-05:00,108721.03881835938,-1174480.9875488281,"[{'asset': SPY, 'quantity': 2700.0}]",0.0
2024-01-16 09:30:00-05:00,108721.03881835938,-1174480.9875488281,"[{'asset': SPY, 'quantity': 2700.0}]",0.0
2024-01-16 12:30:00-05:00,108721.03881835938,-1222006.9885253906,"[{'asset': SPY, 'quantity': 2800.0}]",0.0
2024-01-16 15:30:00-05:00,108721.03881835938,-1269532.9895019531,"[{'asset': SPY, 'quantity': 2900.0}]",0.0
2024-01-16 18:30:00-05:00,108721.03881835938,-1317058.9904785156,"[{'asset': SPY, 'quantity': 3000.0}]",0.0
2024-01-16 18:25:00-05:00,108721.03881835938,-1317058.9904785156,"[{'asset': SPY, 'quantity': 3000.0}]",0.0
